paper_id,author_id,author_order
P00106,A00144,2
P00107,A00320,1
P00107,A00321,2
P00107,A00039,3
P00107,A00287,4
P00107,A00153,5
P00108,A00322,1
P00108,A00323,2
P00108,A00324,3
P00108,A00325,4
P00109,A00326,1
P00109,A00203,2
P00109,A00291,3
P00110,A00151,1
P00110,A00327,2
P00110,A00328,3
P00110,A00329,4
P00110,A00330,5
P00110,A00331,6
P00110,A00332,7
P00110,A00333,8
P00110,A00334,9
P00110,A00335,10
P00111,A00336,1
P00111,A00003,2
P00111,A00337,3
P00112,A00338,1
P00112,A00339,2
P00112,A00340,3
P00112,A00341,4
P00112,A00342,5
P00112,A00156,6
P00112,A00343,7
P00112,A00153,8
P00112,A00344,9
P00112,A00345,10
P00112,A00346,11
P00112,A00347,12
P00112,A00348,13
P00112,A00349,14
P00112,A00350,15
P00112,A00351,16
P00112,A00352,17
P00112,A00353,18
P00112,A00354,19
P00112,A00355,20
P00112,A00356,21
P00112,A00357,22
P00113,A00315,1
P00113,A00358,2
P00113,A00359,3
P00113,A00311,4
P00113,A00360,5
P00113,A00361,6
P00113,A00173,7
P00113,A00063,8
P00113,A00170,9
P00113,A00362,10
P00113,A00087,11
P00113,A00363,12
P00113,A00364,13
P00113,A00365,14
P00114,A00366,1
P00114,A00007,2
P00114,A00367,3
P00115,A00368,1
P00115,A00369,2
P00115,A00283,3
P00115,A00370,4
P00115,A00371,5
P00115,A00372,6
P00116,A00373,1
P00116,A00374,2
P00116,A00306,3
P00117,A00177,1
P00117,A00375,2
P00117,A00004,3
P00117,A00201,4
P00117,A00376,5
P00117,A00377,6
P00117,A00378,7
P00117,A00379,8
P00117,A00221,9
P00117,A00380,10
P00118,A00381,1
P00118,A00382,2
P00118,A00383,3
P00118,A00384,4
P00119,A00369,1
P00119,A00283,2
P00119,A00385,3
P00119,A00368,4
P00120,A00286,1
P00120,A00156,2
P00120,A00386,3
P00120,A00153,4
P00120,A00387,5
P00120,A00039,6
P00121,A00388,1
P00121,A00033,2
P00121,A00030,3
P00122,A00177,1
P00122,A00026,2
P00122,A00025,3
P00122,A00176,4
P00123,A00389,1
P00123,A00390,2
P00124,A00391,1
P00124,A00179,2
P00124,A00392,3
P00124,A00393,4
P00125,A00264,1
P00125,A00394,2
P00125,A00395,3
P00125,A00265,4
P00125,A00396,5
P00126,A00397,1
P00126,A00398,2
P00126,A00399,3
P00126,A00400,4
P00127,A00401,1
P00127,A00402,2
P00127,A00403,3
P00127,A00087,4
P00127,A00404,5
P00127,A00405,6
P00128,A00406,1
P00128,A00225,2
P00128,A00395,3
P00128,A00226,4
P00128,A00264,5
P00129,A00282,1
P00129,A00285,2
P00129,A00283,3
P00129,A00284,4
P00130,A00368,1
P00130,A00369,2
P00130,A00283,3
P00131,A00201,1
P00131,A00231,2
P00131,A00407,3
P00131,A00236,4
P00132,A00408,1
P00133,A00409,1
P00133,A00410,2
P00133,A00411,3
P00133,A00412,4
P00133,A00413,5
P00134,A00414,1
P00134,A00415,2
P00134,A00416,3
P00134,A00417,4
P00134,A00418,5
P00134,A00419,6
P00134,A00420,7
P00134,A00421,8
P00134,A00039,9
P00135,A00408,1
P00136,A00422,1
P00136,A00423,2
P00137,A00424,1
P00137,A00425,2
P00137,A00426,3
P00138,A00381,1
P00138,A00025,2
P00138,A00026,3
P00139,A00427,1
P00139,A00428,2
P00139,A00312,3
P00139,A00063,4
P00139,A00429,5
P00140,A00180,1
P00140,A00221,2
P00141,A00430,1
P00142,A00431,1
P00142,A00067,2
P00143,A00432,1
P00143,A00433,2
P00144,A00434,1
P00145,A00435,1
P00145,A00436,2
P00145,A00007,3
P00145,A00437,4
P00145,A00438,5
P00145,A00439,6
P00146,A00440,1
P00146,A00169,2
P00146,A00441,3
P00146,A00171,4
P00146,A00170,5
P00147,A00440,1
P00147,A00169,2
P00147,A00441,3
P00147,A00171,4
P00147,A00170,5
P00148,A00442,1
P00148,A00443,2
P00148,A00444,3
P00149,A00153,1
P00149,A00287,2
P00149,A00039,3
P00150,A00160,1
P00150,A00445,2
P00150,A00156,3
P00150,A00154,4
P00151,A00446,1
P00151,A00447,2
P00151,A00448,3
P00151,A00449,4
P00151,A00450,5
P00151,A00451,6
P00151,A00452,7
P00151,A00453,8
P00151,A00454,9
P00151,A00455,10
P00151,A00221,11
P00151,A00456,12
P00151,A00026,13
P00151,A00392,14
P00151,A00067,15
P00152,A00457,1
P00152,A00458,2
P00152,A00459,3
P00153,A00408,1
P00154,A00460,1
P00154,A00461,2
P00154,A00462,3
P00154,A00463,4
P00154,A00464,5
P00154,A00430,6
P00154,A00008,7
P00154,A00465,8
P00154,A00240,9
P00155,A00225,1
P00156,A00466,1
P00156,A00391,2
P00156,A00467,3
P00156,A00468,4
P00157,A00443,1
P00157,A00369,2
P00157,A00469,3
P00157,A00470,4
P00157,A00471,5
P00158,A00472,1
P00158,A00314,2
P00158,A00473,3
P00158,A00456,4
P00159,A00474,1
P00159,A00475,2
P00159,A00476,3
P00159,A00477,4
P00159,A00478,5
P00160,A00479,1
P00160,A00480,2
P00160,A00481,3
P00160,A00482,4
P00160,A00483,5
P00160,A00484,6
P00160,A00485,7
P00160,A00486,8
P00160,A00487,9
P00160,A00488,10
P00160,A00489,11
P00160,A00490,12
P00160,A00491,13
P00160,A00492,14
P00160,A00260,15
P00160,A00493,16
P00160,A00494,17
P00160,A00495,18
P00160,A00496,19
P00160,A00497,20
P00160,A00498,21
P00160,A00499,22
P00160,A00500,23
P00160,A00501,24
