author_id,author_name
A00615,M. Diaz
A00616,J. MacDougall
A00617,P.T. Jayachandran
A00618,Takuo T. Tsuda
A00619,Satonori Nozawa
A00620,Tetsuo Motoba
A00621,Yasunobu Ogawa
A00622,Hiroyuki Shinagawa
A00623,Ryoichi Fujii
A00624,M. Tsutsumi
A00625,D. A. Holdsworth
A00626,E. Yizengaw
A00627,M. B. Moldwin
A00628,Alan H. Manson
A00629,Chris E. Meek
A00630,T. Chshyolkova
A00631,X. Xu
A00632,T. Aso
A00633,James R. Drummond
A00634,C. M. Hall
A00635,Wayne K. Hocking
A00636,Ch. Jacobi
A00637,Masaki Tsutsumi
A00638,William Edmund Ward
A00639,C. J. Watson
A00640,Richard B. Langley
A00641,John W. MacDougall
A00642,Sajan C. Mushini
A00643,Dimitry Pokhotelov
A00644,Abdelhaq M. Hamza
A00645,Richard Chadwick
A00646,T. Kelly
A00647,Donald W. Danskin
A00648,Charles S. Carrano
A00649,K. L. Turnbull
A00650,A. W. P. Thomson
A00651,A. J. McKay
A00652,S. H. Mthembu
A00653,L. Magnus
A00654,V. M. Uritsky
A00655,A. J. Klimas
A00656,A. T. Y. Lui
A00657,Samaneh Sadighi
A00658,N. Jakowski
A00659,J.W. MacDougall
A00660,T. F. Shibata
A00661,B. M. Shevtsov
A00662,H. T. Cai
A00663,I. W. McCrea
A00664,J. A. Davies
A00665,Y. V. Bogdanova
A00666,M. Lockwood
A00667,S. Y. Ma
A00668,R. Greg Stacey
A00669,R. L. McPherron
A00670,K. McWilliams
A00671,C. R. Bryant
A00672,E. Tanskanen
A00673,P. Dyson
A00674,Blanchard G. T.
A00675,Sundeen S.
A00676,Baker K. B.
A00677,Carter B.A.
A00678,Makarevich R.A.
A00679,D. Blagoveshchensky
A00680,A. Kalishin
A00681,H. Vanhamäki
A00682,S. Milan
A00683,E. C. Thomas
A00684,S. Imber
A00685,Akimasa Ieda
A00686,Reiko Nomura
A00687,A. Nakajima
A00688,H. Kim
A00689,Marc Lessard
A00690,J. Bernard Blake
A00691,G. Reeves
A00692,Reiner Friedel
A00693,Allan Weatherwax
A00694,A. Runov
A00695,V. A. Sergeev
A00696,U. Auster
A00697,S. Mushini
A00698,R. A. Makarevich
A00699,B. A. Carter
A00700,Akira Morioka
A00701,Robyn A. D. Fiori
A00702,David Boteler
A00703,Ping Yin
A00704,Cathryn N. Mitchell
A00705,Lucilla Alfonsi
A00706,Paul Spencer
A00707,Giorgiana De Franceschi
A00708,Vincenzo Romano
A00709,Patrick Newell
A00710,Pierguido Sarti
A00711,Monia Negusini
A00712,Alessandro Capra
A00713,Robert G. Gillies
A00714,Glenn C. Hussey
A00715,P. Ponomarenko
A00716,J.-P. St.-Maurice
A00717,Sawako Maeda
A00718,Shin-ichiro Oyama
A00719,Takuo Tsuda
A00720,Asgeir Brekke
A00721,Michael H. Denton
A00722,T. Aslaksen
A00723,David Knudsen
A00724,Y. Fu
A00725,L. Sun
A00726,J.S. Wang
A00727,X.J. Bai
A00728,Z.X. Kou
A00729,Y. Zhai
A00730,J. Du
A00731,J. Wu
A00732,Y.B. Xu
A00733,H.X. Lu
A00734,H.R. Zhai
A00735,S. V. Badman
A00736,J. D. Nichols
A00737,T. Tsugawa
A00738,J. P. McCollough
A00739,S. R. Elkington
A00740,D. N. Baker
A00741,E. L. Whittick
A00742,A. D. Aylward
A00743,D. S. Brown
A00744,J. A. Secan
A00745,T. Kashimoto
A00746,Gordon Rostoker
A00747,Clare E. J. Watt
A00748,Mark J. Engebretson
A00749,Mark B. Moldwin
A00750,H. Lühr
A00751,K. Schlegel
A00752,M. Rother
A00753,T. Johansson
A00754,S. Eriksson
A00755,Laila Andersson
A00756,Robert E. Ergun
A00757,V. Sreeja
A00758,C. V. Devasia
A00759,Sudha Ravindran
A00760,Tarun Kumar Pant
A00761,A. J. Kavanagh
A00762,Klebanova Yu.Yu.
A00763,V.V.Mishin
A00764,B
A00765,Tsegmed
A00766,S. Zou
A00767,C.‐P. Wang
A00768,J. C. Devlin
A00769,C. Bryant
A00770,M. R. Lessard
A00771,A. T. Weatherwax
A00772,M. Spasojevic
A00773,U. S. Inan
A00774,A. Gerrard
A00775,L. Lanzerotti
A00776,A. Ridley
A00777,M. J. Engebretson
A00778,N. J. Petit
A00779,R. Clauer
A00780,J. LaBelle
A00781,S. B. Mende
A00782,V. A. Pilipenko
A00783,T. J. Rosenberg
A00784,D. Detrick
A00785,N. F. Blagoveshchenskaya
A00786,T. D. Borisova
A00787,M. T. Rietveld
A00788,A. Brekke
A00789,D.V. Blagoveshchensky
A00790,M.Yu. Andreyev
A00791,V.S. Mingalev
A00792,G.I. Mingaleva
A00793,A.S. Kalishin
A00794,M. Vellante
A00795,T. L. Zhang
A00796,Y. Pang
A00797,X.H. Deng
A00798,Z.G. Yuan
A00799,M. Zhou
A00800,M.H. Lin
A00801,Z.W. Shu
A00802,S.Y. Li
A00803,J.F. Wang
A00804,Kazue Takahashi
A00805,David Berube
A00806,Dong‐Hun Lee
A00807,Jerry Goldstein
A00808,Hibbins R.E.
A00809,Jarvis M.J.
A00810,Ford E.A.K.
A00811,O. Le Contel
A00812,C. Jacquey
A00813,P. Robert
A00814,M. Berthomier
A00815,T. Chust
A00816,B. Grison
A00817,C. C. Chaston
A00818,B. Ergun
A00819,H. Singer
A00820,T. Pitkänen
A00821,A. T. Aikio
A00822,J.-P. St-Maurice
A00823,Yuichi Otsuka
A00824,Dieter A. Andre
A00825,A. H. Manson
A00826,C. E. Meek
A00827,J. R. Drummond
A00828,D. Riggin
A00829,W. K. Hocking
A00830,W. E. Ward
A00831,Ian R. Mann
A00832,Andrew P. Walsh
A00833,Louis Ozeke
A00834,K. Å. T. Sundberg
A00835,J. A. Cumnock
A00836,L. G. Blomberg
A00837,F. D. Wilder
A00838,V. Silbergleit
A00839,A. González
A00840,A. Marchaudon
A00841,J.-C. Cerisier
A00842,J.-M. Bosqued
A00843,Robert C. Fear
A00844,K.-H. Fornaçon
A00845,C. M. Carr
A00846,Iannis Dandouras
A00847,Naoya Maeda
A00848,Satoko Takasaki
A00849,Hideaki Kawano
A00850,Shinichi Ohtani
A00851,P.M.E. Décréau
A00852,J.G. Trotignon
A00853,S.I. Solovyev
A00854,D.G. Baishev
A00855,Kiyohumi Yumoto
A00856,T.I. Pulkkinen
A00857,R.L. McPherron
A00858,C.R. Bryant
A00859,H.J. Singer
A00860,G.D. Reeves
A00861,M.F. Thomsen
A00862,J. Weygand
A00863,S. V. Apatenkov
A00864,P. J. Chi
A00865,S. Ohtani
A00866,A W Yau
A00867,H G James
A00868,P A Bernhardt
A00869,L L Cogger
A00870,G A Enno
A00871,H Hayakawa
A00872,E P King
A00873,D J Knudsen
A00874,R B Langley
A00875,R Rankin
A00876,R H Hum
A00877,D D Wallis
A00878,A White
A00879,Hui Xia He
A00880,D.J. Thomson
A00881,A. R. Lotinga
A00882,Masfumi Hirahara
A00883,Naoki Terada
A00884,S. Beaudette
A00885,P. Harrison
A00886,J.-F. Thibault
A00887,D. McCabe
A00888,V. Wehrle
A00889,R. Fedosejevs
A00890,Andrew W. Yau
A00891,K. Balmain
A00892,Daniel N. Baker
A00893,B. Blake
A00894,J. Fennell
A00895,T. P. O.'Brien
A00896,John Wygant
A00897,D. C. Ndiitwani
A00898,P. R. Sutcliffe
A00899,James Michael Weygand
A00900,K. Glassmeier
A00901,Mikhail I. Sitnov
A00902,C.‐C. Cheng
A00903,Robyn A. Fiori
A00904,E. E. Kadochnikov
A00905,A. C. Kellerman
A00906,Christine Gabrielse
A00907,D. E. Larson
A00908,R.B. Langley
A00909,E. Séran
A00910,M. Godefroy
A00911,J.-J. Berthelier
A00912,L.-E. Sarri
A00913,Mioara Mandea
A00914,Vladimir Papitashvili
A00915,E. D. P. Cousins
A00916,S. G. Shepherd
A00917,H. Vickers
A00918,T. Robinson
A00919,O. J. Marsh
A00920,A. J. McDonald
A00921,H. Shergill
A00922,Q.‐G. Zong
A00923,G. T. Blanchard
A00924,K. B. Baker
A00925,V. A. Parkhomov
A00926,G. N. Zastenker
A00927,M. O. Riazantseva
A00928,B. Tsegmed
A00929,T. A. Popova
A00930,D.-Y. Lee
A00931,K.-C. Choi
A00932,J. H. Lee
A00933,K. C. Kim
A00934,K. S. Park
A00935,K.-H. Kim
A00936,Lin M.-H.
A00937,Deng X.-H.
A00938,Yuan Z.-G.
A00939,Wang J.-F.
A00940,E. D. Pettigrew
A00941,J. A. E. Stephenson
A00942,A. D. M. Walker
A00943,Martin Volwerk
A00944,Colin Forsyth
A00945,R. D. Sydora
